ID,Nombre,"Precio normal",Categorías
627,"Fronius Symo 17.5-3-M Luz",,"Inversores > Conectado a la red, Inversores"
628,"Fronius Symo 8.2-3-M Luz",,"Inversores > Conectado a la red, Inversores"
629,"Fronius Symo Avanzado 20.0-3-M",,"Inversores > Conectado a la red, Inversores"
639,"Luz Fronius Eco 25.0-3-S",,Inversores
632,"Inversor Híbrido 5KW Deye SUN-5K-SG01LP1-US",7800000,"Inversores > Híbridos, Inversores"
631,"Inversor Híbrido 8kW Deye SUN-8K-SG01LP1",8990000,"Inversores > Híbridos, Inversores"
632,"Inversor On Grid Growatt MAC 15KTL3-XL",9687000,"Inversores > Conectado a la red"
633,"Inversor On Grid Growatt MAC 20KTL3-XL",10465000,"Inversores > Conectado a la red, Inversores"
634,"Inversor On Grid Growatt MAC 10KTL3-XL",8550000,"Inversores > Conectado a la red, Inversores"
635,"Inversor On Grid Growatt MAC 36KTL3-XL",18426489,"Inversores > Conectado a la red, Inversores"
636,"Inversor On Grid 5kW Solis Bifásico Solis-1P5K-4G",3370000,"Inversores > Conectado a la red, Inversores"
637,"Inversor On Grid 36 kW trifásico Solis S5-GC36K-LV",17400000,"Inversores > Conectado a la red, Inversores"
638,"Inversor On Grid 50 kW Solis trifásico S5-GC50K-LV",23400000,"Inversores > Conectado a la red, Inversores"
639,"Inversor On Grid 15 kW trifásico Solis",11400000,"Inversores > Conectado a la red, Inversores"
640,"Inversor trifásico 10kW On Grid Solis",9480000,"Inversores > Conectado a la red, Inversores"
641,"Inversor Solis 25 kW trifásico On Grid",15120000,"Inversores > Conectado a la red, Inversores"
642,"Inversor 30 kW On Grid Solis trifásico",15850000,"Inversores > Conectado a la red, Inversores"
643,"Inversor On Grid 60 kW  trifásico SOLIS S5-GC60K-LV",25080000,"Inversores > Conectado a la red, Inversores"
644,"Inversor On Grid Growatt MAX 50 KTL3-XL 2",23211116,"Inversores > Conectado a la red, Inversores"
645,"Inversor On Grid Growatt MAC 75KTL3-XL",24622119,"Inversores > Conectado a la red, Inversores"
